Country,ISO4,Region,CPI Score 2021,CPI Rank 2021,Sources 2021,Standard Error 2021,HDI Rank 2020,HDI 2020
Afghanistan,AFG,AP,19,165,5,2.440014,169,0.511
Albania,ALB,ECA,36,104,8,0.915488,69,0.795
Algeria,DZA,MENA,36,104,7,1.481484,91,0.748
Angola,AGO,SSA,27,142,7,2.011135,148,0.581
Argentina,ARG,AME,42,78,8,2.318056,46,0.845
Armenia,ARM,ECA,49,60,6,3.504781,81,0.776
Australia,AUS,AP,77,11,9,1.046566,8,0.944
Austria,AUT,WE/EU,76,15,8,0.6740441,18,0.922
Azerbaijan,AZE,ECA,30,129,7,5.000017,88,0.756
Bahamas,BHS,AME,63,30,3,5.801677,58,0.814
Bahrain,BHR,MENA,42,78,6,5.914723,42,0.852
Bangladesh,BGD,AP,26,146,8,1.715685,133,0.632
Barbados,BRB,AME,64,29,4,5.471437,58,0.814
Belarus,BLR,ECA,47,63,7,3.376054,53,0.823
Belgium,BEL,WE/EU,76,15,7,1.053756,14,0.931
Benin,BEN,SSA,41,83,7,1.797036,158,0.545
Bhutan,BTN,AP,68,24,4,2.387326,129,0.654
Bolivia,BOL,AME,31,124,7,2.048029,107,0.718
Bosnia and Herzegovina,BIH,ECA,35,111,7,1.867208,73,0.78
Botswana,BWA,SSA,60,35,7,2.876193,100,0.735
Brazil,BRA,AME,38,94,8,2.499375,84,0.765
Brunei Darussalam,BRN,AP,60,35,3,5.585083,47,0.838
Bulgaria,BGR,WE/EU,44,69,10,1.290551,56,0.816
Burkina Faso,BFA,SSA,40,86,8,1.622322,182,0.452
Burundi,BDI,SSA,19,165,6,3.737859,185,0.433
Cabo Verde,CPV,SSA,58,41,4,3.722509,126,0.665
Cambodia,KHM,AP,21,160,8,2.322713,144,0.594
Cameroon,CMR,SSA,25,149,9,1.364944,153,0.563
Canada,CAN,AME,77,11,8,1.771133,16,0.929
Central African Republic,CAF,SSA,26,146,5,0.9326452,188,0.397
Chad,TCD,SSA,21,160,6,1.710202,187,0.398
Chile,CHL,AME,67,25,9,1.225991,43,0.851
China,CHN,AP,42,78,8,1.630193,85,0.761
Colombia,COL,AME,39,92,8,1.588306,83,0.767
Comoros,COM,SSA,21,160,4,5.749558,156,0.554
Congo,COG,SSA,19,165,6,0.8016022,149,0.574
Costa Rica,CRI,AME,57,42,7,2.581013,62,0.81
Cote d'Ivoire,CIV,SSA,36,104,9,1.458328,,
Croatia,HRV,WE/EU,47,63,10,1.476637,43,0.851
Cuba,CUB,AME,47,63,5,2.812264,70,0.783
Cyprus,CYP,WE/EU,57,42,7,3.191929,33,0.887
Czechia,CZE,WE/EU,54,49,10,1.098983,27,0.9
Congo,COD,SSA,18,170,9,0.7490472,149,0.574
